"itemid","label"
769,"ALT"
770,"AST"
26,"AaDO2"
27,"Abdominal Assessment"
31,"Activity"
32,"Activity Tolerance"
920,"Admit Ht"
762,"Admit Wt"
1420,"Aggitation"
39,"Airway Size"
40,"Airway Type"
1622,"Alarms"
1521,"Albumin"
772,"Albumin (>3.2)"
773,"Alk. Phosphate"
916,"Allergy 1"
927,"Allergy 2"
935,"Allergy 3"
775,"Amylase"
43,"Angio Appearance #1 [Attribute 1]"
8365,"Angio Appearance #1 [Attribute 2]"
44,"Angio Appearance #2 [Attribute 1]"
8366,"Angio Appearance #2 [Attribute 2]"
45,"Angio Dressing #1"
46,"Angio Dressing #2"
47,"Angio Site #1"
48,"Angio Site #2"
49,"Anti-Embolism [Device]"
8367,"Anti-Embolism [Status]"
1421,"Anxiety"
50,"Apnea Time Interval"
1126,"Art.pH"
52,"Arterial BP Mean"
8368,"Arterial BP [Diastolic]"
51,"Arterial BP [Systolic]"
776,"Arterial Base Excess"
777,"Arterial CO2(Calc)"
778,"Arterial PaCO2"
779,"Arterial PaO2"
780,"Arterial pH"
54,"Assistance Device"
1422,"Ataxia"
1423,"Auditory Disturbance"
60,"Auto-PEEP Level"
64,"BIPAP - EPAP"
66,"BIPAP - IPAP"
67,"BIPAP - O2 lpm"
68,"BIPAP-Mode"
69,"BSA"
70,"BSA - English"
71,"BSA - Metric"
1162,"BUN"
781,"BUN (6-20)"
72,"Back Care"
77,"Behavior"
783,"Blood Products"
80,"Bowel Sounds"
82,"Braden Activity"
83,"Braden Frict/Shear"
84,"Braden Mobility"
85,"Braden Moisture"
86,"Braden Nutrition"
87,"Braden Score"
88,"Braden SensoryPercep"
89,"C.O. (fick)"
90,"C.O.(thermodilution)"
1424,"CIWA Sum Total"
784,"CPK"
785,"CPK/MB"
113,"CVP"
114,"CaO2"
1522,"Calcium"
786,"Calcium (8.4-10.2)"
787,"Carbon Dioxide"
116,"Cardiac Index"
8378,"Chest PT [Left]"
121,"Chest PT [Right]"
1523,"Chloride"
788,"Chloride (100-112)"
127,"Circulation/SkinInt"
128,"Code Status"
